"country_other","totalcases","totaldeaths","totalrecovered","activecases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","totaltests","tests_1m_pop","population","1_caseevery_x_ppl","1_deathevery_x_ppl","1_testevery_x_ppl","active_cases_1m_pop"
"Uganda",172149,3632,100431,68086,NA,3554,75,3012408,62198,48432863,281,13335,16,1406
"Ghana",171889,1462,170425,2,NA,5306,45,2541625,78456,32395450,188,22158,13,0.06
"Jamaica",156869,3756,NA,NA,NA,52551,1258,1183986,396633,2985094,19,795,3,16712
"Cambodia",139103,3056,136044,3,NA,8102,178,3091420,180062,17168639,123,5618,6,0.2
"Rwanda",133518,1468,132039,11,NA,9817,108,6021981,442778,13600464,102,9265,2,0.8
"Cameroon",125379,1974,123280,125,NA,4492,71,1751774,62762,27911548,223,14140,16,4
"Malta",121420,885,120149,386,NA,273448,1993,2170600,4888375,444033,4,502,0,869
"Barbados",110578,648,108647,1283,NA,383921,2250,814159,2826715,288023,3,444,0,4455
"Angola",107327,1937,103419,1971,NA,3064,55,1499795,42818,35027343,326,18083,23,56
"Channel Islands",101717,228,101321,168,NA,576421,1292,1252808,7099551,176463,2,774,0,952
"DRC",99338,1468,84489,13381,NA,1043,15,846704,8890,95240792,959,64878,112,140
"French Guiana",98041,420,11254,86367,6,312065,1337,651257,2072951,314169,3,748,0,274906
"Malawi",89535,2686,NA,NA,NA,4437,133,624784,30959,20180839,225,7513,32,16
"Senegal",89053,1971,87024,58,NA,5044,112,1146543,64946,17653671,198,8957,15,3
"Ivory Coast",88384,835,87497,52,NA,3186,30,1690934,60951,27742298,314,33224,16,2
"Suriname",82588,1408,NA,NA,NA,138378,2359,242207,405822,596831,7,424,2,52623
"New Caledonia",80064,314,NA,NA,NA,275214,1079,98964,340182,290915,4,926,3,498
"French Polynesia",79254,650,NA,NA,NA,278902,2287,NA,NA,284164,4,437,NA,158725
"Eswatini",75191,1427,73116,648,NA,63462,1204,1048704,885119,1184817,16,830,1,547
"Guyana",74137,1300,72013,824,NA,93366,1637,733218,923396,794045,11,611,1,1038
"Belize",71409,688,NA,NA,NA,173243,1669,576016,1397453,412190,6,599,1,1543
"Fiji",69117,885,67226,1006,NA,75997,973,672883,739866,909466,13,1028,1,1106
"Madagascar",68486,1426,66862,198,NA,2347,49,531329,18210,29178077,426,20461,55,7
"Cabo Verde",64477,417,63755,305,23,113580,735,401622,707482,567678,9,1361,1,537
"Sudan",63993,5046,58947,0,NA,1391,110,562941,12240,45992020,719,9115,82,NA
"Mauritania",63848,997,62471,380,NA,13025,203,1009957,206030,4901981,77,4917,5,78
"Bhutan",62697,21,61564,1112,NA,79571,27,2303734,2923739,787941,13,37521,0,1411
"Syria",57743,3165,54578,0,NA,2982,163,146269,7553,19364809,335,6118,132,NA
